Rank,Project,Hours
1,Hawaii_Doetinchem,19676436
2,WSU_3DHydro,17773241
3,TG-CHE200122,17166300
4,CLAS12,16915958
5,eht,9699502
6,spt,8949466
7,REDTOP,8040874
8,MSU_Berz,7351823
9,EvolSims,5907556
10,UChicago_Jonas,5861971
11,Michigan_Riles,5059653
12,PixleyLab,4989415
13,BiomedInfo,4231592
14,MIT_Choi,3827256
15,Tufts_Hempstead,3653438
16,UWMadison_Banks,3576658
17,SSGAforCSP,3568104
18,microphases,3168815
19,EIC,3081829
20,CompBinFormMod,3034587
21,UCBerkeley_Altman,2681010
22,SC_Gothe,2657177
23,electrolytes,2378109
24,DemoSims,2239506
25,LancasterPPS,2175739
26,xenon1t,2069350
27,AMNH.astro,2055665
28,GLUEX,2021671
29,gluex,1822052
30,MIT_Chakraborty,1658650
31,NCSU_Barroso,1629436
32,RIT_KGCEval,1563394
33,BiostatsChapple,1451652
34,UTAustin_Zimmerman,1067275
35,SourceCoding,1036055
36,CMU_Viswanathan,927411
37,IceCube,922874
38,UTEP_DeBlasio,903608
39,spt.all,900895
40,Duke-QGP,875190
41,snowmass21.en-prod,865413
42,chemml,848343
43,UCDavis_Pickett,788066
44,UConn_Le,764965
45,Arcadia_Curotto,721531
46,duke.qubit-lattice-systems,687322
47,IIT_Cheng,669329
48,Illinois_Jackson,521605
49,osg.NeuroscienceGateway,511019
50,UTulsa_Booth,475116
51,COVID19_FoldingAtHome,453614
52,UCMerced_Han,409029
53,UCSD_Rappel,386540
54,ERVmodels,329348
55,UIowa_Reno,314827
56,Arizona_Males,273289
57,Stanford_Fletcher,271977
58,TG-BIO210164,197777
59,Bucknell_Ryan,181180
60,BioAlgorithms,177450
61,ASU_EvolutionMedicineIT,161577
62,GWU_Orti,143337
63,TexasAM_Fang,130497
64,TG-CIS210126,127438
65,Columbia_Mandal,118611
66,Rice_Ogilvie,116537
67,osg.REDTOP,104689
68,Michigan_Seelbach,101046
69,holosim,70799
70,OSG-Staff,55751
71,UNL_Yang,54858
72,FEMyo,48594
73,TG-PHY210092,44801
74,SBGrid,44629
75,MOLLER,43746
76,SINGE,41594
77,duke.ppsa,38923
78,Rowan_Nguyen,36721
79,UCSD_YZYou,35608
80,TG-PHY210094,34717
81,snowmass21.energy,31223
82,uciatlas,30876
83,UCSD_Gilson,28682
84,Cornell_Lai,28026
85,UCSD_Xu,27464
86,Michigan_Knowles,21422
87,LSU_Wilson,21197
88,duke.wfirst,21142
89,COVID19_JHU_Howard,19333
90,UCAnschutz_Langner,19153
91,AMNH,14039
92,UCSF_Manglik,11668
93,AMNH_Burbrink,10941
94,UCIAtlas,9628
95,Mines_Leach,8803
96,MCSimulations,6184
97,Rice_Fox,5679
98,ACE_NIAID,3487
99,AMNH_MacLow,3471
100,g4PSI,3210
101,osg.EIC,3065
102,SPRI_Smith,2854
103,NJIT_Nadim,2835
104,PSU_Chen,2819
105,TG-DDM160003,2561
106,Guam_Bentlage,2356
107,NSDF,1810
108,nanoHUB,1684
109,MMHA,1612
110,psychosisfmri,1296
111,IIT_Kang,1133
112,JHU_Howard,954
113,WUSTL_Harris,951
114,UCSD_Pa,780
115,UCSD_ResearchIT,712
116,LIGO,709
117,Dearborn_Shawver,495
118,PennState_Hanna,426
119,GeoSCIFramework,354
120,Canisius_Wood,350
121,CHTC-Staff,335
122,TG-CHM210003,308
123,UCSD_Libgober,283
124,UWMadison_Vavilov,269
125,UCDenver_Gaffney,267
126,osg.DESDM,242
127,Flightworthy,199
128,UCDavis_Leveau,164
129,PainDrugs,148
130,Tutorial-PEARC21,122
131,WayneStateU_Majumder,122
132,UMCES_Fitzpatrick,111
133,WayneStateU_Pruneau,91
134,OSU_Weinberg,88
135,NIST_CTCMS,85
136,Fairfield_Kubasik,76
137,BioGraph,72
138,UserSchool2016,54
139,Illinois_Vieira,50
140,SWOSU_SOCCER,44
141,BC_Grubb,44
142,GATech_PACE,36
143,NMSU_SpinQuest,30
144,IU_Tang,24
145,collab.KOTO,21
146,ASU_CoMSESNet,18
147,USC_Deelman,17
148,snowmass21,17
149,KSU_Ng,17
150,Training-ACE-NIAID,17
151,UCSD_Arovas,16
152,duke.TG-BIO220050,13
153,FSU_Kolberg,11
154,USD_RCG,9
155,UAB_ResearchComputing,7
156,duke.mkonset,7
157,mwt2-staff,6
158,UWMadison_Fredrickson,5
159,UWMadison_Bechtol,5
160,UND_Staff,4
161,PSU_Staff,4
162,USU_Kaundal,3
